timestamp,student_id,student_name,age,height_cm,weight_kg,gender,zone,movement_type,amplitude_mean_dbm,amplitude_std_db,phase_mean_rad,phase_variance_rad,rssi_dbm,snr_db,noise_floor_dbm,num_subcarriers,bandwidth_mhz,subcarrier_values
2026-05-08T19:05:00,1,Pessoa #1,18,161,58,F,A,parada,10.45,1.12,1.4411,0.4099,0.45,105.45,-95,56,20,"8.68:1.8579,11.67:1.1194,11.26:1.2891,9.45:1.1799,10.32:1.2678,11.53:1.1062,10.74:1.1182,9.31:1.7778,11.22:1.2659,9.31:1.5447,11.43:1.8732,10.89:1.8959,9.6:1.1504,11.37:1.5872,11.8:1.064,10.69:1.7912,10.6:1.3854,10.72:1.4188,10.33:1.5922,11.12:1.1161,10.15:1.0338,10.57:1.149,9.44:1.1444,10.21:1.7345,8.45:2.1217,10.08:1.5744,9.71:1.6102,10.43:1.6587,11.77:1.4397,9.77:1.0955,9.22:1.3864,13.03:1.3677,11.0:1.912,10.21:1.4082,10.8:1.4433,11.74:1.777,9.51:1.9442,10.1:1.5015,11.48:1.4146,11.36:2.1023,10.84:1.3798,10.75:1.0007,12.35:1.5124,9.77:1.5165,10.31:1.0668,10.22:1.114,7.29:1.5693,11.4:1.2618,11.88:1.4065,11.63:1.2969,8.38:1.7524,9.98:1.0148,7.72:0.9929,9.72:1.7507,11.8:1.0533,9.86:1.7937"
2026-05-08T19:05:01,1,Pessoa #1,18,161,58,F,A,parada,14.09,1.54,5.3628,0.6768,4.09,109.09,-95,56,20,"13.93:6.1652,15.89:5.8669,14.07:4.5642,15.49:5.798,13.19:4.901,15.18:5.2767,16.65:5.2394,12.84:5.5473,14.69:5.0626,17.48:5.5503,14.41:5.639,12.87:5.6764,14.21:5.5674,12.16:5.9019,13.52:5.3685,12.75:5.5196,12.02:4.5917,15.13:5.7072,12.89:5.3088,13.62:6.0878,13.4:5.5969,15.85:4.6163,11.79:5.345,17.02:5.3367,15.59:5.1492,11.45:5.4435,13.89:5.5849,14.91:5.5681,14.68:6.0857,13.39:5.3996,15.39:6.0972,14.64:5.7399,14.7:6.1209,15.4:5.652,13.84:5.1639,12.47:5.943,16.82:6.2581,13.78:5.9914,15.49:6.173,13.73:4.8953,14.44:5.4903,14.06:6.2565,12.27:5.4634,14.91:5.0592,14.33:5.4129,10.87:5.2579,14.2:5.5403,12.35:5.8495,16.66:5.8749,14.31:5.8236,15.79:5.6396,14.89:5.5188,13.48:5.35,11.04:0.2657,12.94:0.1403,11.33:5.8723"
2026-05-08T19:05:02,1,Pessoa #1,18,161,58,F,A,parada,10.5,1.69,2.0265,0.7073,0.5,105.5,-95,56,20,"12.3:1.9142,12.99:2.1076,8.69:2.461,9.77:2.4211,10.7:2.1336,15.14:6.2243,10.36:2.3597,7.44:2.0462,10.78:1.7152,10.53:2.0078,6.33:1.0938,9.81:2.2174,10.81:1.2498,8.73:1.5778,8.7:2.0295,11.86:2.4425,11.77:2.0107,12.11:2.0295,6.95:2.5532,9.73:2.683,9.0:2.3353,10.42:1.9989,11.21:1.4021,11.14:1.6407,9.77:1.4112,10.46:1.9366,11.84:2.3074,10.8:2.0602,13.31:1.5237,9.66:2.153,8.02:2.0082,10.98:1.9424,9.36:2.3119,10.23:2.8934,11.3:2.2695,9.28:1.1802,10.85:2.3161,13.91:1.8718,9.81:2.4154,10.51:1.4326,12.19:1.2279,9.85:2.6811,11.44:2.6014,11.7:1.713,12.3:1.9034,8.59:1.164,11.99:1.9526,9.69:1.3696,10.67:2.2249,10.22:1.8901,10.17:1.3053,10.31:1.911,11.34:0.5721,12.81:2.6316,6.75:2.6123,10.69:1.0365"
2026-05-08T19:05:03,1,Pessoa #1,18,161,58,F,A,parada,12.73,1.62,4.5692,0.9656,2.73,107.73,-95,56,20,"12.81:4.6095,16.0:5.0423,10.62:3.4738,10.99:4.832,10.63:3.2267,15.25:4.2803,12.39:4.517,13.15:5.7082,13.26:4.5978,11.95:4.0497,14.09:4.6925,13.82:4.0974,9.6:5.0756,11.65:5.3095,11.12:5.3105,15.67:4.3352,12.71:4.1907,14.22:5.0494,14.9:5.4996,14.14:3.7871,12.86:4.7912,13.29:5.2385,14.9:6.211,12.45:3.5125,12.76:5.4795,12.62:3.9588,12.05:4.7006,13.5:3.2688,10.83:4.0369,14.29:4.5307,12.9:5.31,10.66:4.571,12.52:2.7364,13.37:5.0182,13.04:5.4253,14.4:4.8376,9.21:4.5264,13.82:4.3668,14.18:5.0337,11.52:4.9755,14.26:4.5527,9.12:4.7409,13.19:5.0244,14.08:5.0764,10.18:5.0518,13.24:5.8317,13.89:4.5631,12.84:3.8663,10.41:4.3136,12.96:4.2575,11.23:3.9596,12.54:3.6293,13.36:4.579,12.63:3.5114,14.86:4.2353,10.1:4.4689"
2026-05-08T19:05:04,1,Pessoa #1,18,161,58,F,A,parada,11.2,1.15,5.242,0.3293,1.2,106.2,-95,56,20,"10.42:4.9747,10.47:5.0339,9.72:5.1003,11.1:5.124,10.31:5.6125,11.61:5.2672,9.94:5.5079,10.9:4.9917,12.34:5.1108,12.65:5.4084,11.41:5.5604,10.59:5.0508,12.87:5.1316,12.7:5.2037,9.59:5.591,12.71:5.6613,11.77:5.4324,11.18:5.103,13.32:5.6957,11.24:5.072,11.18:5.7072,11.54:5.2542,12.06:5.0649,11.6:5.5622,11.08:5.1786,12.08:5.187,10.48:4.7545,10.8:4.9256,11.56:5.3705,10.3:5.1227,7.82:5.4936,13.18:5.235,11.88:5.4563,11.52:5.368,10.16:4.8537,10.09:5.5413,10.7:4.913,9.91:4.8883,11.6:4.8701,11.33:5.1078,10.9:5.2391,12.51:5.1595,10.82:5.0728,13.2:5.3158,12.88:5.2019,9.72:5.0366,10.66:5.3752,9.22:5.0056,10.83:5.7546,10.33:5.7494,13.23:5.219,10.94:5.3882,10.93:4.9776,12.59:4.8752,9.41:5.4001,11.23:5.2946"
2026-05-08T19:05:05,1,Pessoa #1,18,161,58,F,A,levantamento_bracos,21.7,1.24,3.1294,5.6671,11.7,116.7,-95,56,20,"21.54:2.9363,22.87:2.162,23.84:2.236,18.02:4.8986,21.57:0.3496,22.66:2.8606,20.47:4.7841,23.83:3.4698,21.41:1.729,23.57:4.7995,21.26:4.9679,22.68:4.6271,22.29:3.6666,21.68:0.212,21.65:2.9711,22.28:1.9235,22.4:5.1029,22.36:4.7341,23.18:5.1142,20.68:0.6728,22.25:0.1102,20.39:2.7314,21.71:0.9247,21.28:5.5508,22.83:3.5061,22.17:0.4637,23.27:6.2462,21.02:5.1498,20.67:1.3287,20.41:5.667,22.65:2.4383,22.35:1.5736,20.32:0.8355,21.31:1.2371,23.09:4.5915,20.72:0.3159,22.88:5.0908,22.08:5.9778,22.36:0.6834,18.8:0.1665,22.25:1.5295,19.68:2.8989,22.71:3.9436,22.13:4.9623,18.55:4.7006,19.22:4.8844,20.92:6.1537,21.08:0.0419,21.91:1.1036,22.54:5.1663,21.84:5.5797,21.96:4.6556,21.98:0.3828,21.84:3.4446,22.21:1.8584,21.65:5.1317"
2026-05-08T19:05:06,1,Pessoa #1,18,161,58,F,A,levantamento_bracos,16.04,1.48,2.551,5.4586,6.04,111.04,-95,56,20,"13.91:1.3518,17.21:1.2136,17.59:4.7572,17.66:0.7312,13.16:4.9524,16.76:1.4082,16.28:5.8262,17.35:4.6408,14.08:0.6621,16.58:3.4598,17.56:0.0176,15.3:2.6884,17.93:1.3122,19.41:1.5779,16.0:4.5216,16.42:1.4376,16.94:5.4907,14.49:3.8027,17.53:1.0584,16.66:0.9546,15.77:2.99,15.4:0.7445,12.97:1.5712,17.8:0.463,15.62:2.5834,12.95:5.6544,17.66:3.0848,17.48:2.4764,14.61:3.6272,17.58:0.9357,16.36:0.7507,15.78:1.384,17.2:5.2326,16.74:2.1316,16.1:3.8282,17.34:6.1441,16.38:4.1353,15.9:4.0258,17.15:1.3796,17.43:0.5244,14.9:4.3241,14.23:0.6161,17.44:1.9541,16.81:4.4415,14.51:2.6542,14.97:2.3833,16.05:0.1481,15.46:4.7903,14.19:2.4555,13.17:3.5048,13.96:3.4044,14.76:1.4746,15.08:2.5065,17.72:0.2435,14.92:2.3831,17.24:0.0428"
2026-05-08T19:05:07,1,Pessoa #1,18,161,58,F,A,levantamento_bracos,18.24,1.35,3.0597,4.6608,8.24,113.24,-95,56,20,"19.38:1.9503,18.7:5.8753,19.31:2.5069,18.67:1.8707,19.26:1.7765,18.71:2.1968,17.47:3.7569,17.27:2.424,17.98:6.237,21.45:3.8505,18.15:0.0173,16.78:5.3984,15.58:3.1878,19.39:3.3924,14.75:0.252,17.04:3.1894,18.04:5.5378,16.92:4.2255,18.34:0.6837,16.43:1.1389,20.44:2.9888,18.62:5.6653,19.6:5.6855,18.8:3.6991,19.99:5.0001,18.53:2.311,16.6:3.5108,18.0:4.7817,19.66:0.8566,20.34:3.5307,17.33:0.6571,20.39:0.5424,17.85:4.3672,17.89:3.4908,17.35:2.4008,16.28:5.1357,18.04:1.2772,18.76:0.2893,16.96:2.9499,17.89:0.673,20.36:2.4793,17.96:0.5996,17.78:1.8874,18.81:5.941,16.52:5.9958,17.52:6.1588,16.53:2.5356,17.23:1.4243,18.98:4.6837,19.52:2.638,18.92:1.9644,18.61:1.4773,16.19:0.8113,19.39:5.9503,20.08:4.321,17.86:3.1939"
2026-05-08T19:05:09,1,Pessoa #1,18,161,58,F,A,levantamento_bracos,12.7,1.26,3.1128,6.8317,2.7,107.7,-95,56,20,"14.89:2.6799,12.41:5.2839,9.97:2.0976,12.0:1.311,15.56:4.0728,13.3:3.5594,14.56:4.8607,12.67:3.3693,12.65:5.1967,13.22:1.4839,11.54:1.4827,14.05:1.6807,10.95:2.493,12.36:5.3674,14.18:3.8994,12.73:3.3334,10.65:0.043,11.79:0.8898,14.53:4.7976,12.22:5.8444,12.01:2.0108,12.15:3.4094,12.8:4.2044,11.96:3.8659,11.69:0.4917,12.33:2.8628,13.97:3.9377,12.63:0.6365,9.87:3.5289,13.19:1.9525,12.76:2.5128,13.26:4.0316,12.72:3.4868,12.03:5.9712,11.2:5.3421,11.56:3.2352,14.31:1.992,10.4:6.2104,13.73:0.0743,12.29:3.787,13.84:5.3657,11.64:0.1428,11.99:0.3935,14.09:5.2704,13.42:1.8535,11.15:1.4257,11.99:4.3816,13.07:1.6849,13.5:2.0395,13.41:0.4695,14.87:2.2244,12.45:5.7323,11.72:4.8457,14.33:3.5448,14.47:2.8493,12.18:4.8001"
2026-05-08T19:05:10,1,Pessoa #1,18,161,58,F,A,levantamento_bracos,20.68,1.28,3.4207,8.1455,10.68,115.68,-95,56,20,"22.05:5.6433,19.33:5.7038,21.58:4.7698,19.83:0.3956,23.73:0.3788,19.04:2.1849,20.02:0.0766,20.1:1.5768,21.57:6.1579,22.09:5.8607,20.53:5.2908,19.94:1.6038,19.67:5.2344,22.47:0.7156,22.5:6.2162,19.65:3.0571,21.61:0.1646,19.27:0.4644,21.95:4.619,19.83:1.5861,20.25:1.267,21.17:4.8772,19.77:1.6225,19.73:3.1484,20.9:4.8655,21.28:5.8847,22.04:0.4712,19.9:2.9375,20.18:5.9786,18.48:3.523,19.63:5.107,20.65:2.2068,18.34:0.5166,21.22:5.564,19.14:4.5679,20.66:3.5793,22.54:0.7641,19.77:4.3668,20.3:6.1191,22.96:5.9274,23.51:4.19,19.0:2.8248,21.01:0.9635,20.71:1.1773,21.36:3.1938,22.47:5.107,22.01:3.5832,21.68:5.747,19.1:5.4155,20.0:1.2445,19.2:5.3888,21.76:5.5758,19.06:1.6863,20.8:2.2626,21.2:4.4444,19.64:3.7591"
